tr_index,time,spectral_flux,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,fundamental_frequency,rms_energy_db,category,is_music,is_silence,is_speech,is_speech_music
765,1148.249977324263,0.4174627596204685,0.3627170812548374,0.5138960427946047,0.7135384002271974,1.445692724036762,1.094054214426479,0.8801682560619365,-0.19733642445406308,-1.256707755363407,-0.5819826809519547,-0.4331877118699675,-0.4435702759945724,0.06652581850685534,-0.15734838430108017,-0.6113594473325861,-0.42998664670332076,0.5430293850299283,speech,False,False,True,False
766,1149.747664399093,0.13567868673522146,0.05200102592179465,0.467508381223119,1.0919984166976342,1.6120818082368156,1.4450743538891073,0.6069945734930867,-0.6916216566731775,-0.757736916046923,-0.003936917804630454,-0.23828650406410853,-0.48903557947327825,-0.46344985905657254,-0.2710629244813579,-0.7548071760338141,-0.36924884133843344,0.4535755189394888,speech,False,False,True,False
767,1151.245351473923,0.26253914759780284,0.052004111870502405,0.6356996998642709,1.2366376575713722,1.6799812685777384,1.7711886436711788,0.21239430354529204,-1.1672492000550458,-0.323988086043358,0.5703284610148759,0.12857801888211154,-0.3861357407533829,-0.7323984908568122,-0.24769530787256985,-0.9095874559008778,-0.3441850495732727,0.4532433133829735,speech,False,False,True,False
768,1152.754648526077,0.32427810964355785,0.017558253767902227,0.5233591507459107,0.9809948729586044,1.5209830660750514,1.9443565223669328,0.11548078893050932,-1.086559689351399,-0.03154144751753168,0.8603535672070494,0.5047184289495321,-0.04109009853458073,-0.4960966958314636,-0.08529378618313913,-0.6151178519620293,-0.44226254390277914,0.4090659317165109,speech,False,False,True,False
769,1154.252335600907,0.24389074859819396,0.04037278947921392,0.3792489664772666,0.6164031114281701,1.2248958847446305,1.901979199016415,0.24605167037433828,-0.8370247692910155,0.08306656351134371,0.9220505852371528,0.4030507578498684,0.11256778946276859,-0.008417398698901448,0.06265349788248031,-0.24442692543869496,-0.514933445663533,0.39023741214126284,speech,False,False,True,False
770,1155.750022675737,0.028900689711340705,-0.05023259823816408,0.1472932298499294,0.34570714908046263,0.8697888214019428,1.6470885823547043,0.47920900513536147,-0.47764702756524774,0.2859939693062944,1.0064879010864207,0.08484749964211084,0.08014099640244984,0.38546503785609276,0.11340299380990715,0.14289038145862545,-0.5250819060312656,0.2813026325417368,speech,False,False,True,False
771,1157.2477097505669,-0.22069895105713147,-0.278690286560648,-0.0878569079220075,0.28220455989542437,0.5084820818722453,1.3001781055977553,0.5665008159029886,-0.2571616742282633,0.36215002863097,0.95659366918735,0.22178338488783103,0.2439185863728951,0.292066650083867,0.035449272467431445,0.2643034337178281,-0.4805369738341811,0.15386464994159346,speech,False,False,True,False
772,1158.7453968253967,-0.28365122771713,-0.3591289017931941,-0.018503095957212088,0.4639459784515691,0.23580762898686863,0.8208010579121343,0.44293874333220346,-0.19331873456525697,0.25389358374541715,0.6820682537099214,0.49377762169032785,0.4665691463718613,0.08230789449680964,0.04897905600837691,-0.039670654397358965,-0.39552492831834823,0.12865170789369593,speech,False,False,True,False
773,1160.254693877551,0.11979846504693752,0.08481787868678693,0.5508656454314562,0.6217939919726995,0.04096719128476783,0.2289679141364182,0.3459924661689926,-0.0632547808028713,-0.0058997388985310385,0.3949771865743933,0.44736764058275547,0.45416766781184725,0.22521527873648264,0.008665777135893704,-0.5449636961782195,-0.2951164429143798,0.3588147702159751,speech,False,False,True,False
774,1161.752380952381,0.8891882104622167,0.8508676480909355,1.238891180195576,0.5635905840613146,0.18413704323778798,-0.07005207107764604,0.1891805631086897,0.003439207846653591,-0.3646887580721963,0.053147361525337646,0.07326678628444273,0.08427204566770448,0.41756327687527967,-0.2245896258535957,-0.9606387613155457,-0.18362295833175257,0.8021584669645329,speech,False,False,True,False
