label,start,end
male,1334.6200000000001,1338.56
noEnergy,1338.56,1338.98
male,1338.98,1341.1000000000001
noEnergy,1341.1000000000001,1341.58
male,1341.58,1344.7
noEnergy,1344.7,1345.3600000000001
male,1345.3600000000001,1349.6200000000001
noEnergy,1349.6200000000001,1350.3
male,1350.3,1357.0
noEnergy,1357.0,1357.76
male,1357.76,1361.18
noEnergy,1361.18,1361.72
male,1361.72,1377.82
music,1377.82,1389.56
noise,1389.56,1392.42
male,1392.42,1395.5
noEnergy,1395.5,1396.1200000000001
male,1396.1200000000001,1399.32
music,1399.32,1400.3
noEnergy,1400.3,1400.98
male,1400.98,1401.68
noEnergy,1401.68,1402.54
male,1402.54,1403.74
noEnergy,1403.74,1404.6000000000001
female,1404.6000000000001,1405.64
noEnergy,1405.64,1406.08
music,1406.08,1411.46
male,1411.46,1427.38
music,1427.38,1429.8
male,1429.8,1440.04
noEnergy,1440.04,1440.9
noise,1440.9,1442.22
noEnergy,1442.22,1442.94
male,1442.94,1443.76
noEnergy,1443.76,1444.2
male,1444.2,1445.52
noEnergy,1445.52,1446.28
male,1446.28,1448.5
noEnergy,1448.5,1450.1200000000001
male,1450.1200000000001,1452.72
noEnergy,1452.72,1453.54
male,1453.54,1455.42
noEnergy,1455.42,1456.06
male,1456.06,1459.34
noEnergy,1459.34,1460.06
male,1460.06,1460.88
noEnergy,1460.88,1461.78
male,1461.78,1463.32
noEnergy,1463.32,1464.28
male,1464.28,1464.92
noEnergy,1464.92,1466.24
male,1466.24,1468.8
noEnergy,1468.8,1469.32
male,1469.32,1471.3600000000001
noEnergy,1471.3600000000001,1472.44
male,1472.44,1474.8600000000001
noEnergy,1474.8600000000001,1475.38
female,1475.38,1478.96
noEnergy,1478.96,1479.6000000000001
female,1479.6000000000001,1482.02
male,1482.02,1483.6200000000001
noEnergy,1483.6200000000001,1484.08
male,1484.08,1490.02
noEnergy,1490.02,1490.42
male,1490.42,1495.02
noise,1495.02,1500.6000000000001
music,1500.6000000000001,1509.44
male,1509.44,1516.1000000000001
music,1516.1000000000001,1532.9
noEnergy,1532.9,1533.76
